2018-05-17 15:32:02,605 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 15:32:02,613 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:32:02,614 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 15:32:07,657 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:32:07,657 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 15:32:07,661 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 15:32:07,664 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 16:43:22,885 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 16:43:22,886 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 16:43:22,888 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 16:43:22,889 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 17:18:05,876 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 17:18:05,878 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 17:18:05,885 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 17:18:05,892 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 17:19:09,040 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 17:19:09,042 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 17:19:09,046 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 17:19:09,047 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 17:20:22,408 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 17:20:22,413 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 17:20:22,428 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 17:20:22,430 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 18:13:32,786 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-05-17 18:13:40,917 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 18:13:40,931 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 18:13:40,937 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 18:13:40,938 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
